begin_date,state,cz_name,event_type,magnitude,magnitude_type,injuries,deaths,property_damage,crop_damage,tor_f_scale
2024-04-30,OKLAHOMA,TILLMAN,Thunderstorm Wind,55,MG,0,0,0,0,
2024-07-01,LOUISIANA,NATCHITOCHES,Excessive Heat,0,,0,0,0,0,
2024-11-16,OREGON,EAST SLOPES OF THE OREGON CASCADES,Heavy Snow,0,,0,0,0,0,
2024-05-22,TEXAS,WILLACY,Heat,0,,0,0,0,0,
2024-05-21,TEXAS,WILLACY,Heat,0,,0,0,0,0,
2024-05-24,MISSISSIPPI,PONTOTOC,Thunderstorm Wind,52,EG,0,0,1000,0,
2024-11-01,WASHINGTON,SOUTH WASHINGTON CASCADES,Heavy Snow,0,,0,0,0,0,
2024-11-01,OREGON,CASCADES OF MARION AND LINN COUNTIES,Heavy Snow,0,,0,0,0,0,
2024-05-14,MISSISSIPPI,TISHOMINGO,Hail,1,,0,0,0,0,
2024-05-14,TENNESSEE,HARDIN,Hail,0.88,,0,0,0,0,
2024-11-17,OREGON,CASCADES OF MARION AND LINN COUNTIES,Heavy Snow,0,,0,0,0,0,
2024-11-13,WASHINGTON,SOUTH WASHINGTON COAST,High Wind,61,MG,0,0,0,0,
2024-11-17,OREGON,NORTH OREGON CASCADES,Heavy Snow,0,,0,0,0,0,
2024-11-17,OREGON,CASCADES OF LANE COUNTY,Heavy Snow,0,,0,0,0,0,
2024-11-17,WASHINGTON,SOUTH WASHINGTON CASCADES,Heavy Snow,0,,0,0,0,0,
2024-11-22,OREGON,CLATSOP COUNTY COAST,High Wind,60,MG,0,0,0,0,
2024-11-22,WASHINGTON,SOUTH WASHINGTON COAST,High Wind,60,EG,0,0,0,0,
2024-11-14,OREGON,BENTON,Funnel Cloud,0,,0,0,0,0,
2024-11-20,OREGON,WASHINGTON,Heavy Rain,0,,0,0,75000,0,
2024-11-05,IOWA,DAVIS,Tornado,0,,0,0,120000,0,EF0
2024-11-01,IOWA,CERRO GORDO,Drought,0,,0,0,0,0,
2024-11-01,IOWA,HANCOCK,Drought,0,,0,0,0,0,
