name,downloads_last_month,latest,description,license,homepage,repository,keywords,maintainers,created,modified,versions_count,dependencies,devDependencies,peerDependencies
semver,3249783700,7.8.5,The semantic version parser used by npm.,ISC,https://github.com/npm/node-semver#readme,git+https://github.com/npm/node-semver.git,[],"[""saquibkhan"",""npm-cli-ops"",""reggi"",""owlstronaut""]",2011-02-12T00:20:25.690Z,2026-06-19T18:32:49.353Z,119,{},"{""@npmcli/eslint-config"":""^7.0.0"",""@npmcli/template-oss"":""5.0.0"",""benchmark"":""^2.1.4"",""tap"":""^16.0.0""}",{}
debug,2621850872,4.4.3,Lightweight debugging utility for Node.js and the browser,MIT,https://github.com/debug-js/debug#readme,git://github.com/debug-js/debug.git,"[""debug"",""log"",""debugger""]","[""qix"",""tootallnate""]",2011-11-29T01:11:23.618Z,2025-09-13T17:25:19.913Z,77,"{""ms"":""^2.1.3""}","{""brfs"":""^2.0.1"",""browserify"":""^16.2.3"",""coveralls"":""^3.0.2"",""karma"":""^3.1.4"",""karma-browserify"":""^6.0.0"",""karma-chrome-launcher"":""^2.2.0"",""karma-mocha"":""^1.3.0"",""mocha"":""^5.2.0"",""mocha-lcov-reporter"":""^1.2.0"",""sinon"":""^14.0.0"",""xo"":""^0.23.0""}",{}
ansi-styles,2612223055,6.2.3,ANSI escape codes for styling strings in the terminal,MIT,https://github.com/chalk/ansi-styles#readme,git+https://github.com/chalk/ansi-styles.git,"[""ansi"",""styles"",""color"",""colour"",""colors"",""terminal"",""console"",""cli"",""string"",""tty"",""escape"",""formatting"",""rgb"",""256"",""shell"",""xterm"",""log"",""logging"",""command-line"",""text""]","[""sindresorhus""]",2013-07-31T23:00:29.145Z,2025-09-08T17:07:32.285Z,28,{},"{""xo"":""^0.58.0"",""ava"":""^6.1.3"",""tsd"":""^0.31.1"",""svg-term-cli"":""^2.1.1""}",{}
lru-cache,1977271343,11.5.1,A cache object that deletes the least-recently-used items.,BlueOak-1.0.0,https://github.com/isaacs/node-lru-cache#readme,git+ssh://git@github.com/isaacs/node-lru-cache.git,"[""mru"",""lru"",""cache""]","[""isaacs""]",2011-07-16T09:09:00.041Z,2026-05-27T15:04:12.843Z,162,{},"{""benchmark"":""^2.1.4"",""esbuild"":""^0.28.0"",""marked"":""^4.2.12"",""mkdirp"":""^3.0.1"",""oxlint"":""^1.65.0"",""oxlint-tsgolint"":""^0.22.1"",""prettier"":""^3.8.3"",""tap"":""^21.7.4"",""tshy"":""^4.1.2"",""typedoc"":""^0.28.19""}",{}
string-width,1973052442,8.2.1,Get the visual width of a string - the number of columns required to display it,MIT,https://github.com/sindresorhus/string-width#readme,git+https://github.com/sindresorhus/string-width.git,"[""string"",""character"",""unicode"",""width"",""visual"",""column"",""columns"",""fullwidth"",""full-width"",""wcwidth"",""wcswidth"",""full"",""ansi"",""escape"",""codes"",""cli"",""command-line"",""terminal"",""console"",""cjk"",""chinese"",""japanese"",""korean"",""fixed-width"",""east-asian-width""]","[""sindresorhus""]",2015-07-16T22:08:17.757Z,2026-04-27T05:27:21.308Z,29,"{""get-east-asian-width"":""^1.5.0"",""strip-ansi"":""^7.1.2""}","{""ava"":""^6.4.1"",""tsd"":""^0.33.0"",""xo"":""^1.2.3""}",{}
emoji-regex,1803144370,10.6.0,A regular expression to match all Emoji-only symbols as per the Unicode Standard.,MIT,https://mths.be/emoji-regex,git+https://github.com/mathiasbynens/emoji-regex.git,"[""unicode"",""regex"",""regexp"",""regular expressions"",""code points"",""symbols"",""characters"",""emoji""]","[""mathias"",""google-wombot""]",2014-09-28T11:10:47.034Z,2026-04-24T23:31:06.993Z,37,{},"{""mocha"":""^11.7.2"",""@unicode/unicode-17.0.0"":""^1.6.10"",""emoji-test-regex-pattern"":""^2.4.0""}",{}
commander,1742454563,15.0.0,the complete solution for node.js command-line programs,MIT,https://github.com/tj/commander.js#readme,git+https://github.com/tj/commander.js.git,"[""commander"",""command"",""option"",""parser"",""cli"",""argument"",""args"",""argv""]","[""shadowspawn"",""abetomo""]",2011-08-14T22:17:51.639Z,2026-05-29T09:16:23.183Z,124,{},"{""@eslint/js"":""^10.0.1"",""@types/node"":""^22.7.4"",""eslint"":""^10.0.2"",""eslint-config-prettier"":""^10.0.1"",""globals"":""^17.3.0"",""prettier"":""^3.2.5"",""tsd"":""^0.33.0"",""typescript"":""^6.0.2"",""typescript-eslint"":""^8.12.2""}",{}
glob,1522751733,13.0.6,the most correct and second fastest glob implementation in JavaScript,BlueOak-1.0.0,https://github.com/isaacs/node-glob#readme,git+ssh://git@github.com/isaacs/node-glob.git,[],"[""isaacs""]",2011-01-02T22:10:36.356Z,2026-02-19T17:26:33.383Z,168,"{""minimatch"":""^10.2.2"",""minipass"":""^7.1.3"",""path-scurry"":""^2.0.2""}","{""@types/node"":""^25.3.0"",""esbuild"":""^0.27.3"",""memfs"":""^4.50.0"",""mkdirp"":""^3.0.1"",""prettier"":""^3.6.2"",""rimraf"":""^6.1.3"",""tap"":""^21.6.1"",""tshy"":""^3.3.2"",""typedoc"":""^0.28.17""}",{}
readable-stream,1264271036,4.7.0,"Node.js Streams, a user-land copy of the stream library from Node.js",MIT,https://github.com/nodejs/readable-stream,git://github.com/nodejs/readable-stream.git,"[""readable"",""stream"",""pipe""]","[""cwmma"",""matteo.collina"",""nodejs-foundation""]",2012-07-27T04:46:57.281Z,2025-01-07T09:15:39.036Z,105,"{""abort-controller"":""^3.0.0"",""buffer"":""^6.0.3"",""events"":""^3.3.0"",""process"":""^0.11.10"",""string_decoder"":""^1.3.0""}","{""@babel/core"":""^7.17.10"",""@babel/plugin-proposal-nullish-coalescing-operator"":""^7.16.7"",""@babel/plugin-proposal-optional-chaining"":""^7.16.7"",""@eslint/eslintrc"":""^3.2.0"",""@rollup/plugin-commonjs"":""^22.0.0"",""@rollup/plugin-inject"":""^4.0.4"",""@rollup/plugin-node-resolve"":""^13.3.0"",""@sinonjs/fake-timers"":""^9.1.2"",""browserify"":""^17.0.0"",""c8"":""^7.11.2"",""esbuild"":""^0.19.9"",""esbuild-plugin-alias"":""^0.2.1"",""eslint"":""^8.15.0"",""eslint-config-standard"":""^17.0.0"",""eslint-plugin-import"":""^2.26.0"",""eslint-plugin-n"":""^15.2.0"",""eslint-plugin-promise"":""^6.0.0"",""playwright"":""^1.21.1"",""prettier"":""^2.6.2"",""rollup"":""^2.72.1"",""rollup-plugin-polyfill-node"":""^0.9.0"",""tap"":""^16.2.0"",""tap-mocha-reporter"":""^5.0.3"",""tape"":""^5.5.3"",""tar"":""^6.1.11"",""undici"":""^5.1.1"",""webpack"":""^5.72.1"",""webpack-cli"":""^4.9.2""}",{}
which,1211982847,7.0.0,Like which(1) unix command. Find the first instance of an executable in the PATH.,ISC,https://github.com/npm/node-which#readme,git+https://github.com/npm/node-which.git,[],"[""saquibkhan"",""npm-cli-ops"",""reggi"",""owlstronaut""]",2011-08-07T18:36:12.410Z,2026-05-08T18:30:59.133Z,37,"{""isexe"":""^4.0.0""}","{""@npmcli/eslint-config"":""^6.0.0"",""@npmcli/template-oss"":""5.0.0"",""tap"":""^16.3.0""}",{}
