grade,sex,race_ethnicity,question,prevalence_pct,sample_size
All,All,All,Currently smoked cigarettes (past 30 days),4,20280
9th,All,All,Currently smoked cigarettes (past 30 days),2.2,5270
10th,All,All,Currently smoked cigarettes (past 30 days),3,5070
11th,All,All,Currently smoked cigarettes (past 30 days),4.8,5070
12th,All,All,Currently smoked cigarettes (past 30 days),5.9,4870
All,Female,All,Currently smoked cigarettes (past 30 days),3.1,10140
All,Male,All,Currently smoked cigarettes (past 30 days),4.9,10140
All,All,Non-Hispanic White,Currently smoked cigarettes (past 30 days),4.8,8110
All,All,Non-Hispanic Black,Currently smoked cigarettes (past 30 days),2.7,3040
All,All,Hispanic,Currently smoked cigarettes (past 30 days),3.8,6080
All,All,All,Currently used electronic vapor products (past 30 days),9.8,20280
9th,All,All,Currently used electronic vapor products (past 30 days),6.9,5270
10th,All,All,Currently used electronic vapor products (past 30 days),9.1,5070
11th,All,All,Currently used electronic vapor products (past 30 days),11.9,5070
12th,All,All,Currently used electronic vapor products (past 30 days),14.1,4870
All,Female,All,Currently used electronic vapor products (past 30 days),11.5,10140
All,Male,All,Currently used electronic vapor products (past 30 days),8.2,10140
All,All,Non-Hispanic White,Currently used electronic vapor products (past 30 days),12.5,8110
All,All,Non-Hispanic Black,Currently used electronic vapor products (past 30 days),5.8,3040
All,All,Hispanic,Currently used electronic vapor products (past 30 days),8.7,6080
All,All,All,Currently drank alcohol (past 30 days),14.8,20280
9th,All,All,Currently drank alcohol (past 30 days),9,5270
10th,All,All,Currently drank alcohol (past 30 days),12.1,5070
11th,All,All,Currently drank alcohol (past 30 days),16.3,5070
12th,All,All,Currently drank alcohol (past 30 days),21.9,4870
All,Female,All,Currently drank alcohol (past 30 days),15.6,10140
All,Male,All,Currently drank alcohol (past 30 days),14,10140
All,All,Non-Hispanic White,Currently drank alcohol (past 30 days),16.8,8110
All,All,Non-Hispanic Black,Currently drank alcohol (past 30 days),11.5,3040
All,All,Hispanic,Currently drank alcohol (past 30 days),13.7,6080
All,All,All,Currently used marijuana (past 30 days),11.6,20280
9th,All,All,Currently used marijuana (past 30 days),7.1,5270
10th,All,All,Currently used marijuana (past 30 days),10.2,5070
11th,All,All,Currently used marijuana (past 30 days),13.5,5070
12th,All,All,Currently used marijuana (past 30 days),16.8,4870
All,Female,All,Currently used marijuana (past 30 days),11.4,10140
All,Male,All,Currently used marijuana (past 30 days),11.8,10140
All,All,Non-Hispanic White,Currently used marijuana (past 30 days),12.5,8110
All,All,Non-Hispanic Black,Currently used marijuana (past 30 days),13.7,3040
All,All,Hispanic,Currently used marijuana (past 30 days),11.8,6080
All,All,All,Ever misused prescription opioid pain medicine,5.6,20280
9th,All,All,Ever misused prescription opioid pain medicine,4.1,5270
10th,All,All,Ever misused prescription opioid pain medicine,5,5070
11th,All,All,Ever misused prescription opioid pain medicine,6.6,5070
12th,All,All,Ever misused prescription opioid pain medicine,7.7,4870
All,Female,All,Ever misused prescription opioid pain medicine,6.1,10140
All,Male,All,Ever misused prescription opioid pain medicine,5.2,10140
All,All,Non-Hispanic White,Ever misused prescription opioid pain medicine,6.5,8110
All,All,Non-Hispanic Black,Ever misused prescription opioid pain medicine,4.8,3040
All,All,Hispanic,Ever misused prescription opioid pain medicine,5.9,6080
All,All,All,Felt persistently sad or hopeless (past 12 months),35,20280
9th,All,All,Felt persistently sad or hopeless (past 12 months),34.2,5270
10th,All,All,Felt persistently sad or hopeless (past 12 months),35.8,5070
11th,All,All,Felt persistently sad or hopeless (past 12 months),35.6,5070
12th,All,All,Felt persistently sad or hopeless (past 12 months),34.1,4870
All,Female,All,Felt persistently sad or hopeless (past 12 months),42.9,10140
All,Male,All,Felt persistently sad or hopeless (past 12 months),27.2,10140
All,All,Non-Hispanic White,Felt persistently sad or hopeless (past 12 months),34.8,8110
All,All,Non-Hispanic Black,Felt persistently sad or hopeless (past 12 months),35.6,3040
All,All,Hispanic,Felt persistently sad or hopeless (past 12 months),38.4,6080
All,All,All,Seriously considered attempting suicide (past 12 months),15.7,20280
9th,All,All,Seriously considered attempting suicide (past 12 months),16.5,5270
10th,All,All,Seriously considered attempting suicide (past 12 months),16.8,5070
11th,All,All,Seriously considered attempting suicide (past 12 months),14.9,5070
12th,All,All,Seriously considered attempting suicide (past 12 months),13.8,4870
All,Female,All,Seriously considered attempting suicide (past 12 months),21.5,10140
All,Male,All,Seriously considered attempting suicide (past 12 months),10.2,10140
All,All,Non-Hispanic White,Seriously considered attempting suicide (past 12 months),15.5,8110
All,All,Non-Hispanic Black,Seriously considered attempting suicide (past 12 months),14.6,3040
All,All,Hispanic,Seriously considered attempting suicide (past 12 months),17.6,6080
All,All,All,Attempted suicide (past 12 months),6.8,20280
9th,All,All,Attempted suicide (past 12 months),7.9,5270
10th,All,All,Attempted suicide (past 12 months),7.2,5070
11th,All,All,Attempted suicide (past 12 months),6,5070
12th,All,All,Attempted suicide (past 12 months),5.1,4870
All,Female,All,Attempted suicide (past 12 months),9.8,10140
All,Male,All,Attempted suicide (past 12 months),4,10140
All,All,Non-Hispanic White,Attempted suicide (past 12 months),5.9,8110
All,All,Non-Hispanic Black,Attempted suicide (past 12 months),7.8,3040
All,All,Hispanic,Attempted suicide (past 12 months),8.7,6080
All,All,All,Physically active at least 60 minutes per day (all 7 days),17.2,20280
9th,All,All,Physically active at least 60 minutes per day (all 7 days),20.1,5270
10th,All,All,Physically active at least 60 minutes per day (all 7 days),17.3,5070
11th,All,All,Physically active at least 60 minutes per day (all 7 days),15.4,5070
12th,All,All,Physically active at least 60 minutes per day (all 7 days),13.8,4870
All,Female,All,Physically active at least 60 minutes per day (all 7 days),10.8,10140
All,Male,All,Physically active at least 60 minutes per day (all 7 days),23.4,10140
All,All,Non-Hispanic White,Physically active at least 60 minutes per day (all 7 days),19.1,8110
All,All,Non-Hispanic Black,Physically active at least 60 minutes per day (all 7 days),14.7,3040
All,All,Hispanic,Physically active at least 60 minutes per day (all 7 days),15.1,6080
All,All,All,3 or more hours of screen time per day (outside school),64.8,20280
9th,All,All,3 or more hours of screen time per day (outside school),62.1,5270
10th,All,All,3 or more hours of screen time per day (outside school),64.3,5070
11th,All,All,3 or more hours of screen time per day (outside school),66.2,5070
12th,All,All,3 or more hours of screen time per day (outside school),67.9,4870
All,Female,All,3 or more hours of screen time per day (outside school),67.8,10140
